sem | branch_code | subject_code | credit | duplicate_reg_nos
I | 118 | 100105 | 1.00 | 22118128004,23118128001
I | 118 | 100105P | 2.00 | 22118128004,23118128001
I | 118 | 100106 | 2.00 | 22118128004,23118128001
I | 118 | 100106P | 1.00 | 22118128004,23118128001
I | 118 | 105102 | 4.00 | 22118128004,23118128001
I | 119 | 100101 | 4.00 | 22119113008,23119113001
I | 119 | 100101P | 1.00 | 22119113008,23119113001
I | 119 | 100102 | 1.00 | 22119113008,23119113001
I | 119 | 100102P | 2.00 | 22119113008,23119113001
I | 119 | 101101 | 4.00 | 22119113008,23119113001
I | 119 | 101101P | 1.50 | 22119113008,23119113001
I | 119 | 101102 | 4.00 | 22119113008,23119113001
I | 151 | 100103 | 4.00 | 22151113025,23151113002
I | 151 | 100103P | 1.50 | 22151113025,23151113002
I | 151 | 100104 | 3.00 | 22151113025,23151113002
I | 151 | 100104P | 2.00 | 22151113025,23151113002
I | 151 | 100105 | 1.00 | 22151113025,23151113002
I | 151 | 100105P | 2.00 | 22151113025,23151113002
I | 151 | 100106 | 2.00 | 22151113025,23151113002
I | 151 | 100106P | 1.00 | 22151113025,23151113002
I | 151 | 105102 | 4.00 | 22151113025,23151113002
I | 152 | 100103 | 4.00 | 22152146021,23152146004
I | 152 | 100103P | 1.50 | 22152146021,23152146004
I | 152 | 100104 | 3.00 | 22152146021,23152146004
I | 152 | 100104P | 2.00 | 22152146021,23152146004
I | 152 | 100105 | 1.00 | 22152146021,23152146004
I | 152 | 100105P | 2.00 | 22152146021,23152146004
I | 152 | 100106 | 2.00 | 22152146021,23152146004
I | 152 | 100106P | 1.00 | 22152146021,23152146004
I | 152 | 105102 | 4.00 | 22152146021,23152146004
I | 153 | 100103 | 4.00 | 22153132004,23153132001
I | 153 | 100103P | 1.50 | 22153132004,23153132001
I | 153 | 100104 | 3.00 | 22153132004,23153132001
I | 153 | 100104P | 2.00 | 22153132004,23153132001
I | 153 | 100105 | 1.00 | 22153132004,23153132001
I | 153 | 100105P | 2.00 | 22153132004,23153132001
I | 153 | 100106 | 2.00 | 22153132004,23153132001
I | 153 | 100106P | 1.00 | 22153132004,23153132001
I | 153 | 105102 | 4.00 | 22153132004,23153132001
I | 154 | 100103 | 4.00 | 22154149007,23154149001
I | 154 | 100103P | 1.50 | 22154149007,23154149001
I | 154 | 100104 | 3.00 | 22154149007,23154149001
I | 154 | 100104P | 2.00 | 22154149007,23154149001
I | 154 | 100105 | 1.00 | 22154149007,23154149001
I | 154 | 100105P | 2.00 | 22154149007,23154149001
I | 154 | 100106 | 2.00 | 22154149007,23154149001
I | 154 | 100106P | 1.00 | 22154149007,23154149001
I | 154 | 105102 | 4.00 | 22154149007,23154149001
I | 155 | 100103 | 4.00 | 22155126026,23155126004
I | 155 | 100103P | 1.50 | 22155126026,23155126004
I | 155 | 100104 | 3.00 | 22155126026,23155126004
I | 155 | 100104P | 2.00 | 22155126026,23155126004
I | 155 | 100105 | 1.00 | 22155126026,23155126004
I | 155 | 100105P | 2.00 | 22155126026,23155126004
I | 155 | 100106 | 2.00 | 22155126026,23155126004
I | 155 | 100106P | 1.00 | 22155126026,23155126004
I | 155 | 105102 | 4.00 | 22155126026,23155126004
I | 156 | 100103 | 4.00 | 22156148013,23156148003
I | 156 | 100103P | 1.50 | 22156148013,23156148003
I | 156 | 100104 | 3.00 | 22156148013,23156148003
I | 156 | 100104P | 2.00 | 22156148013,23156148003
I | 156 | 100105 | 1.00 | 22156148013,23156148003
I | 156 | 100105P | 2.00 | 22156148013,23156148003
I | 156 | 100106 | 2.00 | 22156148013,23156148003
I | 156 | 100106P | 1.00 | 22156148013,23156148003
I | 156 | 105102 | 4.00 | 22156148013,23156148003
I | 157 | 100103 | 4.00 | 22157127020,23157127001
I | 157 | 100103P | 1.50 | 22157127020,23157127001
I | 157 | 100104 | 3.00 | 22157127020,23157127001
I | 157 | 100104P | 2.00 | 22157127020,23157127001
I | 157 | 100105 | 1.00 | 22157127020,23157127001
I | 157 | 100105P | 2.00 | 22157127020,23157127001
I | 157 | 100106 | 2.00 | 22157127020,23157127001
I | 157 | 100106P | 1.00 | 22157127020,23157127001
I | 157 | 105102 | 4.00 | 22157127020,23157127001
