sem | branch_code | branch_name | subject_code | credit | total_sem_credit | status | sample_reg_nos
IV | 153 | Computer Science and Engineering (Data Science) | 105403 | 3.00 | 27 | MATCH | 22153132004
IV | 153 | Computer Science and Engineering (Data Science) | 105403P | 2.00 | 27 | MATCH | 22153132004
IV | 154 | Computer Science and Engineering (Internet of Things and Cyber Security Including Block Chain Technology) | 100403 | 3.00 | 27 | MATCH | 22154149007
IV | 154 | Computer Science and Engineering (Internet of Things and Cyber Security Including Block Chain Technology) | 100403P | 2.00 | 27 | MATCH | 22154149007
IV | 154 | Computer Science and Engineering (Internet of Things and Cyber Security Including Block Chain Technology) | 100404 | 4.00 | 27 | MATCH | 22154149007
IV | 154 | Computer Science and Engineering (Internet of Things and Cyber Security Including Block Chain Technology) | 100407 | 3.00 | 27 | MATCH | 22154149007
IV | 154 | Computer Science and Engineering (Internet of Things and Cyber Security Including Block Chain Technology) | 105401 | 3.00 | 27 | MATCH | 22154149007
IV | 154 | Computer Science and Engineering (Internet of Things and Cyber Security Including Block Chain Technology) | 105401P | 2.00 | 27 | MATCH | 22154149007
IV | 154 | Computer Science and Engineering (Internet of Things and Cyber Security Including Block Chain Technology) | 105402 | 3.00 | 27 | MATCH | 22154149007
IV | 154 | Computer Science and Engineering (Internet of Things and Cyber Security Including Block Chain Technology) | 105402P | 2.00 | 27 | MATCH | 22154149007
IV | 154 | Computer Science and Engineering (Internet of Things and Cyber Security Including Block Chain Technology) | 105403 | 3.00 | 27 | MATCH | 22154149007
IV | 154 | Computer Science and Engineering (Internet of Things and Cyber Security Including Block Chain Technology) | 105403P | 2.00 | 27 | MATCH | 22154149007
IV | 156 | Computer Science and Engineering (Networks) | 100403 | 3.00 | 27 | MATCH | 22156148013
IV | 156 | Computer Science and Engineering (Networks) | 100403P | 2.00 | 27 | MATCH | 22156148013
IV | 156 | Computer Science and Engineering (Networks) | 100404 | 4.00 | 27 | MATCH | 22156148013
IV | 156 | Computer Science and Engineering (Networks) | 100407 | 3.00 | 27 | MATCH | 22156148013
IV | 156 | Computer Science and Engineering (Networks) | 105401 | 3.00 | 27 | MATCH | 22156148013
IV | 156 | Computer Science and Engineering (Networks) | 105401P | 2.00 | 27 | MATCH | 22156148013
IV | 156 | Computer Science and Engineering (Networks) | 105402 | 3.00 | 27 | MATCH | 22156148013
IV | 156 | Computer Science and Engineering (Networks) | 105402P | 2.00 | 27 | MATCH | 22156148013
IV | 156 | Computer Science and Engineering (Networks) | 105403 | 3.00 | 27 | MATCH | 22156148013
IV | 156 | Computer Science and Engineering (Networks) | 105403P | 2.00 | 27 | MATCH | 22156148013
IV | 157 | Computer Science and Engineering (Artificial Intelligence and Machine Learning) | 100403 | 3.00 | 27 | MATCH | 22157127020
IV | 157 | Computer Science and Engineering (Artificial Intelligence and Machine Learning) | 100403P | 2.00 | 27 | MATCH | 22157127020
IV | 157 | Computer Science and Engineering (Artificial Intelligence and Machine Learning) | 100404 | 4.00 | 27 | MATCH | 22157127020
IV | 157 | Computer Science and Engineering (Artificial Intelligence and Machine Learning) | 100407 | 3.00 | 27 | MATCH | 22157127020
IV | 157 | Computer Science and Engineering (Artificial Intelligence and Machine Learning) | 105401 | 3.00 | 27 | MATCH | 22157127020
IV | 157 | Computer Science and Engineering (Artificial Intelligence and Machine Learning) | 105401P | 2.00 | 27 | MATCH | 22157127020
IV | 157 | Computer Science and Engineering (Artificial Intelligence and Machine Learning) | 105402 | 3.00 | 27 | MATCH | 22157127020
IV | 157 | Computer Science and Engineering (Artificial Intelligence and Machine Learning) | 105402P | 2.00 | 27 | MATCH | 22157127020
IV | 157 | Computer Science and Engineering (Artificial Intelligence and Machine Learning) | 105403 | 3.00 | 27 | MATCH | 22157127020
IV | 157 | Computer Science and Engineering (Artificial Intelligence and Machine Learning) | 105403P | 2.00 | 27 | MATCH | 22157127020
